id,name,price,oldPrice,badge,category,active
1,Velvet Emerald Sofa,1299,,New,sofas,TRUE
2,Nordic Accent Chair,449,,,chairs,TRUE
3,Kruzo Aero Chair,699,899,Sale,chairs,TRUE
4,Ergonomic Chair,389,,,chairs,TRUE
5,Teal Tufted Armchair,559,,New,chairs,TRUE
6,Wooden Bar Stool,189,,,stools,TRUE
7,Walnut Round Stool,149,,,stools,TRUE
8,Hairpin Side Table,229,299,Sale,tables,TRUE
9,Blue Velvet Loveseat,879,,,sofas,TRUE
10,Grey Channel Sofa,1599,,Premium,sofas,TRUE
11,Mustard Lounge Chair,499,,,chairs,TRUE
12,Retro Living Set,2299,,Bundle,sofas,TRUE
